city,year,income,expend,gdp,deposit,gap,gap_to_gdp,income_growth,expend_growth,region_group,is_tier1
兰州,2023,255.3279,502.9172,3487.0,5130.1717,247.58929999999998,0.07100352738743905,15.54527291363561,0.8260476358213031,其他,False
兰州,2024,251.9062,547.6361,3742.25,5639.5427,295.72990000000004,0.07902462422339503,-1.3401199007237352,8.891901092267297,其他,False
北京,2006,1117.1514,1296.8389,8618.9,8705.6,179.6875,0.020848078061005467,,,其他,True
北京,2007,1492.638,1649.5023,10730.4,9155.34,156.86430000000018,0.014618681503019476,33.61107545494728,27.194079387964077,其他,True
北京,2008,1837.3238,1959.2857,12167.6,11952.84,121.96190000000001,0.01002349682764062,23.092390787317484,18.78041637165342,其他,True
北京,2009,2026.8089,2319.3658,13335.7,14672.1,292.55690000000004,0.02193787352744888,10.313103221108877,18.378131377164664,其他,True
北京,2010,2353.9301,2717.3174,15420.2,17003.1121859824,363.38729999999987,0.023565667111970005,16.13971598407724,17.15777649217729,其他,True
北京,2011,3006.28,3245.23,17653.3,19126.1369907331,238.94999999999982,0.01353571286954846,27.71322309018438,19.427712051599123,其他,True
北京,2012,3314.934,3685.3076,19568.3,21644.9,370.3735999999999,0.018927224132908833,10.266974466782862,13.560752242522112,其他,True
北京,2013,3661.1097,4173.6563,21746.0,23086.4149916846,512.5465999999997,0.023569695576197907,10.442913795568764,13.251233085672398,其他,True
北京,2014,4027.1609,4524.669,23577.5,24158.4,497.5081,0.021100969144311314,9.998367434879096,8.41019659429072,其他,True
北京,2015,4723.86,5737.7011,26034.1,23913.967,1013.8411000000006,0.03894281346388009,17.300006562936176,26.809300304618965,其他,True
北京,2016,5081.26,6406.77,28438.7,28012.0329,1325.5100000000002,0.04660937384620254,7.565846574623314,11.660922873796963,其他,True
北京,2017,5430.7875,6824.5284,31325.9,28962.2,1393.7408999999998,0.04449164748658457,6.878756450171819,6.520577451664411,其他,True
北京,2018,5785.9176,7471.4332,35161.4,34018.9631,1685.5156000000006,0.04793653267503571,6.539200806512846,9.479113604392065,其他,True
北京,2019,5817.0994,7408.1876,37767.0,37309.675,1591.0882000000001,0.04212905976116716,0.5389257531078551,-0.8464989019777436,其他,True
北京,2020,5483.8866,7116.1764,38503.6,42888.765,1632.2898000000005,0.04239317362532336,-5.728160670591265,-3.941736032710619,其他,True
北京,2021,5932.308,7205.1201,44350.7,47184.3121,1272.8121,0.028698805204878393,8.17707280817952,1.2498804835697985,其他,True
北京,2022,5714.3583,7469.1547,45222.4,56915.7573,1754.7964000000002,0.03880369905179734,-3.6739444411854616,3.66454127530782,其他,True
北京,2023,6181.1,7971.25,47353.7,64020.3563,1790.1499999999996,0.03780380413779704,8.167875997555152,6.722250645042882,其他,True
北京,2024,6372.6778,8396.486,49670.2,70398.146,2023.8082000000004,0.04074491747566952,3.099412725890205,5.334621295279929,其他,True
南京,2006,246.4392,262.4614,2773.78,1834.88,16.022200000000026,0.005776305258528082,,,长三角,False
南京,2007,330.1883,342.9386,3283.73,1951.1599,12.750299999999982,0.003882871003401614,33.983676298251254,30.66248979849988,长三角,False
南京,2008,386.56,404.6656,3775.0,2505.3308,18.10559999999998,0.004796185430463572,17.072591609090914,17.999431968288192,长三角,False
南京,2009,434.508,461.2662,4230.0,3056.3486,26.758200000000045,0.00632581560283689,12.403766556291384,13.987005567065758,长三角,False
南京,2010,518.8008,542.1812,5130.7,3511.85,23.38040000000001,0.004556961038454794,19.39959678532961,17.541931318618186,长三角,False
南京,2011,635.0018,666.2056,6145.52,3910.2037,31.2038,0.005077487340371522,22.39799938627698,22.87508309030266,长三角,False
南京,2012,733.0168,769.6569,7201.6,4465.37,36.64009999999996,0.005087772161741829,15.435389317006653,15.528434465276186,长三角,False
南京,2013,831.3076,850.9085,8011.78,4883.29,19.600900000000024,0.0024465100140043817,13.409078755084458,10.556859816367536,长三角,False
南京,2014,903.489,921.2047,8820.75,5055.7718,17.71569999999997,0.002008411983108009,8.68287502724623,8.261311292577279,长三角,False
南京,2015,1020.03,1045.57,9720.77,5535.5266,25.539999999999964,0.0026273638816678062,12.89899489645141,13.500289349370442,长三角,False
南京,2016,1142.6,1173.84,10503.02,5894.468,31.24000000000001,0.0029743826061456617,12.016313245688837,12.267949539485645,长三角,False
南京,2017,1271.9111,1354.0873,11715.1,6019.7012,82.17619999999988,0.007014553866377571,11.317267635217942,15.355355073945343,长三角,False
南京,2018,1470.0152,1532.7156,12820.4,6914.8437,62.700399999999945,0.00489067423793329,15.575310255567398,13.191786083511747,长三角,False
南京,2019,1580.03,1658.07,14031.0,8299.64,78.03999999999996,0.0055619699237402865,7.483922615221927,8.178581858239053,长三角,False
南京,2020,1637.7,1754.619,14818.0,9499.2456,116.91899999999987,0.007890336077743277,3.6499306975184,5.822974904557698,长三角,False
南京,2021,1729.518,1817.728,16356.0,10636.7754,88.21000000000004,0.005393127904133042,5.606521340904935,3.5967352456573343,长三角,False
南京,2022,1558.2064,1828.6941,16907.85,13078.0479,270.4876999999999,0.01599775843764878,-9.905164329021154,0.6032860802056117,长三角,False
南京,2023,1619.9827,1838.6959,17421.0,15228.9498,218.71319999999992,0.012554572068193555,3.96457747831096,0.5469367457356489,长三角,False
南京,2024,1596.0247,1705.2595,18500.81,17091.8481,109.23479999999995,0.005904325270082766,-1.4789046821302554,-7.25712174590698,长三角,False
南宁,2006,56.6221,93.0781,870.1481,681.4522,36.456,0.04189631627075897,,,其他,False
南宁,2007,70.151,118.0007,1069.0099,714.7919,47.8497,0.044760764142595874,23.893320805833753,26.776008534768092,其他,False
南宁,2008,191.1682,166.083,1316.2137,88.6542,-25.085200000000015,-0.01905860727631084,172.50958646348593,40.747470142126275,其他,False
南宁,2009,120.4628,203.5519,1525.0,1116.1975,83.08909999999999,0.05448465573770491,-36.98596314659029,22.560346332857662,其他,False
南宁,2010,156.0958,261.2785,1800.3,1375.8853,105.18270000000001,0.05842509581736378,29.580086134474715,28.3596468517366,其他,False
